Sequence_category,model,score
human,AB-LSTM,0.9345865845680237
human,AB-LSTM,1.3881295919418335
human,AB-LSTM,0.9840996265411377
human,AB-LSTM,0.6700490117073059
human,AB-LSTM,0.6006903648376465
human,AB-LSTM,0.4796123504638672
human,AB-LSTM,0.7608713507652283
human,AB-LSTM,0.5278788805007935
human,AB-LSTM,0.712024986743927
human,AB-LSTM,0.5422552824020386
human,AB-LSTM,1.076798915863037
human,AB-LSTM,1.013795018196106
human,AB-LSTM,0.6415240168571472
human,AB-LSTM,1.1365083456039429
human,AB-LSTM,0.5184382200241089
human,AB-LSTM,0.5074455142021179
human,AB-LSTM,0.6047589182853699
human,AB-LSTM,0.46391353011131287
human,AB-LSTM,0.5621490478515625
human,AB-LSTM,0.446407675743103
human,AB-LSTM,0.9518679976463318
human,AB-LSTM,0.550764262676239
human,AB-LSTM,0.5266420841217041
human,AB-LSTM,0.7209499478340149
human,AB-LSTM,0.9957160949707031
human,AB-LSTM,0.6086656451225281
human,AB-LSTM,0.6506946086883545
human,AB-LSTM,0.6285481452941895
human,AB-LSTM,1.1743760108947754
human,AB-LSTM,0.5622360110282898
human,AB-LSTM,0.8016124367713928
human,AB-LSTM,1.0918444395065308
human,AB-LSTM,0.9392416477203369
human,AB-LSTM,0.6566739678382874
human,AB-LSTM,1.1270363330841064
human,AB-LSTM,0.9713771343231201
human,AB-LSTM,0.5636814832687378
human,AB-LSTM,0.868595540523529
human,AB-LSTM,0.643685519695282
human,AB-LSTM,0.5146183371543884
human,AB-LSTM,1.2495331764221191
human,AB-LSTM,0.8516902923583984
human,AB-LSTM,0.7159166932106018
human,AB-LSTM,0.5152396559715271
human,AB-LSTM,0.4902832806110382
human,AB-LSTM,0.9408108592033386
human,AB-LSTM,0.46758291125297546
human,AB-LSTM,0.6040916442871094
human,AB-LSTM,1.001072645187378
human,AB-LSTM,1.2826749086380005
human,AB-LSTM,1.022794485092163
human,AB-LSTM,0.6322131752967834
human,AB-LSTM,0.6164799928665161
human,AB-LSTM,0.8364448547363281
human,AB-LSTM,0.5543546080589294
human,AB-LSTM,0.8564233779907227
human,AB-LSTM,0.528671145439148
human,AB-LSTM,0.9559107422828674
human,AB-LSTM,1.4320361614227295
human,AB-LSTM,0.4627314507961273
human,AB-LSTM,1.1341716051101685
human,AB-LSTM,0.5049194693565369
human,AB-LSTM,0.958287239074707
human,AB-LSTM,0.9492417573928833
human,AB-LSTM,0.6101336479187012
human,AB-LSTM,0.533332109451294
human,AB-LSTM,0.6469370722770691
human,AB-LSTM,0.7939319014549255
human,AB-LSTM,0.9575148224830627
human,AB-LSTM,0.531969428062439
human,AB-LSTM,0.734065055847168
human,AB-LSTM,0.6649508476257324
human,AB-LSTM,0.7040826082229614
human,AB-LSTM,0.8799424171447754
human,AB-LSTM,1.5327874422073364
human,AB-LSTM,1.06142258644104
human,AB-LSTM,0.9631123542785645
human,AB-LSTM,0.8178574442863464
human,AB-LSTM,0.5774059295654297
human,AB-LSTM,1.0918277502059937
human,AB-LSTM,1.6124498844146729
human,AB-LSTM,0.6158016920089722
human,AB-LSTM,0.4676007926464081
human,AB-LSTM,0.7776410579681396
human,AB-LSTM,0.5840017795562744
human,AB-LSTM,0.9095792770385742
human,AB-LSTM,1.276658058166504
human,AB-LSTM,0.4051259458065033
human,AB-LSTM,1.950837254524231
human,AB-LSTM,0.7402291297912598
human,AB-LSTM,0.5514547228813171
human,AB-LSTM,0.7595173716545105
human,AB-LSTM,0.7086655497550964
human,AB-LSTM,0.7130438685417175
human,AB-LSTM,0.5685614943504333
human,AB-LSTM,0.944675624370575
human,AB-LSTM,0.6062049269676208
human,AB-LSTM,1.0826656818389893
human,AB-LSTM,1.0884181261062622
human,AB-LSTM,0.6555026769638062
human,AB-LSTM,0.6733348965644836
human,AB-LSTM,0.9554083347320557
human,AB-LSTM,0.8024921417236328
human,AB-LSTM,0.5252318382263184
human,AB-LSTM,0.8399776816368103
human,AB-LSTM,0.9041869640350342
human,AB-LSTM,0.7886038422584534
human,AB-LSTM,0.8225821852684021
human,AB-LSTM,0.5912008285522461
